@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
5512,'2020/10/21 20:53:59:187',7,0,46,342,1,98,0,30,0,0,0
5513,'2020/10/21 20:53:59:187',7,0,44,342,1,98,0,30,0,0,0
5514,'2020/10/21 20:53:59:187',7,1,44,342,1,98,0,30,0,0,0
5515,'2020/10/21 20:53:59:269',7,1,44,342,1,98,0,30,0,0,0
5516,'2020/10/21 20:53:59:270',7,1,44,342,1,64,0,30,0,0,0
5517,'2020/10/21 20:53:59:270',7,1,44,342,1,64,0,30,0,0,0
5518,'2020/10/21 20:53:59:270',7,1,44,345,1,64,0,30,0,0,0
5519,'2020/10/21 20:53:59:270',7,1,44,345,1,64,0,30,0,0,0
5520,'2020/10/21 20:53:59:270',7,1,44,345,1,64,0,30,0,0,0
5521,'2020/10/21 20:53:59:373',7,1,44,345,1,64,1,30,0,0,0
5522,'2020/10/21 20:53:59:373',7,1,44,345,1,43,1,30,0,0,0
5523,'2020/10/21 20:53:59:373',7,1,44,345,0,43,1,30,0,0,0
5524,'2020/10/21 20:53:59:373',7,1,44,345,0,43,1,30,0,0,0
5525,'2020/10/21 20:53:59:373',7,1,44,345,0,43,1,30,0,0,0
5526,'2020/10/21 20:53:59:373',7,1,44,345,0,43,1,30,0,0,0
5527,'2020/10/21 20:53:59:477',7,1,44,345,0,43,1,30,0,0,0
5528,'2020/10/21 20:53:59:478',7,1,44,345,0,51,1,30,0,0,0
5529,'2020/10/21 20:53:59:478',7,1,44,345,1,51,1,30,0,0,0
5530,'2020/10/21 20:53:59:478',7,1,44,344,1,51,1,30,0,0,0
5531,'2020/10/21 20:53:59:478',7,1,45,344,1,51,1,30,0,0,0
5532,'2020/10/21 20:53:59:478',7,0,45,344,1,51,1,30,0,0,0
5533,'2020/10/21 20:53:59:571',7,0,45,344,1,51,1,30,0,0,0
5534,'2020/10/21 20:53:59:571',7,0,45,344,1,44,1,30,0,0,0
5535,'2020/10/21 20:53:59:571',7,0,45,344,0,44,1,30,0,0,0
5536,'2020/10/21 20:53:59:571',7,0,45,344,0,44,1,30,0,0,0
5537,'2020/10/21 20:53:59:571',7,0,44,344,0,44,1,30,0,0,0
5538,'2020/10/21 20:53:59:571',7,0,44,344,0,44,1,30,0,0,0
5539,'2020/10/21 20:53:59:687',7,0,44,344,0,44,0,30,0,0,0
5540,'2020/10/21 20:53:59:687',7,0,44,344,0,51,0,30,0,0,0
5541,'2020/10/21 20:53:59:687',7,0,44,344,1,51,0,30,0,0,0
5542,'2020/10/21 20:53:59:687',7,0,44,344,1,51,0,30,0,0,0
5543,'2020/10/21 20:53:59:687',7,0,44,344,1,51,0,30,0,0,0
5544,'2020/10/21 20:53:59:687',7,0,44,344,1,51,0,30,0,0,0
5545,'2020/10/21 20:53:59:779',7,0,44,344,1,51,0,30,0,0,0
5546,'2020/10/21 20:53:59:780',7,0,44,344,1,47,0,30,0,0,0
5547,'2020/10/21 20:53:59:780',7,0,44,344,1,47,0,30,0,0,0
5548,'2020/10/21 20:53:59:780',7,0,44,346,1,47,0,30,0,0,0
5549,'2020/10/21 20:53:59:780',7,0,44,346,1,47,0,30,0,0,0
5550,'2020/10/21 20:53:59:780',7,0,44,346,1,47,0,30,0,0,0
5551,'2020/10/21 20:53:59:884',7,0,44,346,1,47,0,30,0,0,0
5552,'2020/10/21 20:53:59:884',7,0,44,346,1,54,0,30,0,0,0
5553,'2020/10/21 20:53:59:884',7,0,44,346,1,54,0,30,0,0,0
5554,'2020/10/21 20:53:59:884',7,0,44,346,1,54,0,30,0,0,0
5555,'2020/10/21 20:53:59:884',7,0,44,346,1,54,0,30,0,0,0
5556,'2020/10/21 20:53:59:884',7,0,44,346,1,54,0,30,0,0,0
5557,'2020/10/21 20:53:59:976',7,0,44,346,1,54,1,30,0,0,0
5558,'2020/10/21 20:53:59:976',7,0,44,346,1,63,1,30,0,0,0
5559,'2020/10/21 20:53:59:977',7,0,44,346,1,63,1,30,0,0,0
