@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29401,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29402,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29403,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29404,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29405,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29406,'2020/10/01 16:11:31:531',179,0,0,0,0,0,0,0,0,0,0
29407,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29408,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29409,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29410,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29411,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29412,'2020/10/01 16:11:31:636',179,0,0,0,0,0,0,0,0,0,0
29413,'2020/10/01 16:11:31:741',179,0,0,0,0,0,0,0,0,0,0
29414,'2020/10/01 16:11:31:741',179,0,0,0,0,0,0,0,0,0,0
29415,'2020/10/01 16:11:31:741',179,0,0,0,0,0,0,0,0,0,0
29416,'2020/10/01 16:11:31:741',179,0,0,0,0,0,0,0,0,0,0
29417,'2020/10/01 16:11:31:741',179,0,0,0,0,0,0,0,0,0,0
29418,'2020/10/01 16:11:31:742',179,0,0,0,0,0,0,0,0,0,0
29419,'2020/10/01 16:11:31:833',179,0,0,0,0,0,0,0,0,30,0
29420,'2020/10/01 16:11:31:834',179,0,0,0,0,0,0,0,0,30,0
29421,'2020/10/01 16:11:31:834',179,0,0,0,0,0,0,0,0,30,0
29422,'2020/10/01 16:11:31:834',179,0,0,0,0,0,0,0,0,30,0
29423,'2020/10/01 16:11:31:834',179,0,0,0,0,0,0,0,0,30,0
29424,'2020/10/01 16:11:31:834',179,0,0,0,0,0,0,0,0,30,0
29425,'2020/10/01 16:11:31:937',179,0,0,0,0,0,0,0,0,30,0
29426,'2020/10/01 16:11:31:938',179,0,0,0,0,0,0,0,0,30,0
29427,'2020/10/01 16:11:31:938',179,0,0,0,0,0,0,0,0,30,0
29428,'2020/10/01 16:11:31:938',179,0,0,0,0,0,0,0,0,30,0
29429,'2020/10/01 16:11:31:938',179,0,0,0,0,0,0,0,0,30,0
29430,'2020/10/01 16:11:31:938',179,0,0,0,0,0,0,0,0,30,0
29431,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29432,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29433,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29434,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29435,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29436,'2020/10/01 16:11:32:030',179,0,0,0,0,0,0,0,0,30,0
29437,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29438,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29439,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29440,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29441,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29442,'2020/10/01 16:11:32:135',179,0,0,0,0,0,0,0,0,30,0
29443,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29444,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29445,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29446,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29447,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29448,'2020/10/01 16:11:32:239',179,0,0,0,0,0,0,0,0,30,0
29449,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29450,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29451,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29452,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29453,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29454,'2020/10/01 16:11:32:332',179,0,0,0,0,0,0,0,0,30,0
29455,'2020/10/01 16:11:32:436',179,0,0,0,0,0,0,0,0,30,0
29456,'2020/10/01 16:11:32:436',179,0,0,0,0,0,0,0,0,30,0
29457,'2020/10/01 16:11:32:437',179,0,0,0,0,0,0,0,0,30,0
29458,'2020/10/01 16:11:32:437',179,0,0,0,0,0,0,0,0,30,0
29459,'2020/10/01 16:11:32:437',179,0,0,0,0,0,0,0,0,30,0
29460,'2020/10/01 16:11:32:437',179,0,0,0,0,0,0,0,0,30,0
29461,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29462,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29463,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29464,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29465,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29466,'2020/10/01 16:11:32:541',179,0,0,0,0,0,0,0,0,30,0
29467,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29468,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29469,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29470,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29471,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29472,'2020/10/01 16:11:32:634',179,0,0,0,0,0,0,0,0,30,0
29473,'2020/10/01 16:11:32:740',179,0,0,0,0,0,0,0,0,30,0
29474,'2020/10/01 16:11:32:742',179,0,0,0,0,0,0,0,0,30,0
