@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
225,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
226,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
227,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
228,'2020/10/01 16:53:27:761',2,0,0,0,0,0,0,1
229,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
230,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
231,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
232,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
233,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
234,'2020/10/01 16:53:27:853',2,0,0,0,0,0,0,1
235,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
236,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
237,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
238,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
239,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
240,'2020/10/01 16:53:27:957',2,0,0,0,0,0,0,1
241,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
242,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
243,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
244,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
245,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
246,'2020/10/01 16:53:28:062',2,0,0,0,0,0,0,1
247,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
248,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
249,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
250,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
251,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
252,'2020/10/01 16:53:28:155',2,0,0,0,0,0,0,1
253,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
254,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
255,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
256,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
257,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
258,'2020/10/01 16:53:28:260',2,0,0,0,0,0,0,1
